id,created_at,reference,pac_values_1,pac_values_2,pac_values_3,pac_values_4,total_energy_values_1,total_energy_values_2,total_energy_values_3,total_energy_values_4,year_energy_values_1,year_energy_values_2,year_energy_values_3,year_energy_values_4,year_energy_unit
2806408,May 08 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11806000.0,11660900.0,7212360.0,7038950.0,6585240.0,6529080.0,4070020.0,3862080.0,Wh
2806409,May 08 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11806000.0,11660900.0,7212360.0,7038950.0,6585240.0,6529080.0,4070020.0,3862080.0,Wh
2806410,May 08 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11806000.0,11660900.0,7212360.0,7038950.0,6585240.0,6529080.0,4070020.0,3862080.0,Wh
2806411,May 08 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11806000.0,11660900.0,7212360.0,7038950.0,6585240.0,6529080.0,4070020.0,3862080.0,Wh
2806412,May 08 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11806000.0,11660900.0,7212360.0,7038950.0,6585240.0,6529080.0,4070020.0,3862080.0,Wh
2806413,May 08 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11806000.0,11660900.0,7212360.0,7038950.0,6585240.0,6529080.0,4070020.0,3862080.0,Wh
2806414,May 08 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11806000.0,11660900.0,7212360.0,7038950.0,6585240.0,6529080.0,4070020.0,3862080.0,Wh
2806415,May 08 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11806000.0,11660900.0,7212360.0,7038950.0,6585240.0,6529080.0,4070020.0,3862080.0,Wh
2806416,May 08 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11806000.0,11660900.0,7212360.0,7038950.0,6585240.0,6529080.0,4070020.0,3862080.0,Wh
2806417,May 08 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11806000.0,11660900.0,7212360.0,7038950.0,6585240.0,6529080.0,4070020.0,3862080.0,Wh
